matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
16,2,4,10,4,16,2000,0.9,0.4065,2.6,19992,3659530.24,1999.07,365824.0
16,2,4,15,2,8,1000,0.8,0.464,2.1,14996,2747269.12,999.7,182937.6
16,2,4,15,2,8,2000,0.8,0.3998,2.1,29988,5484052.48,1999.1,365824.0
16,2,4,15,2,16,1000,0.8433999999999999,0.3807,2.0,14992,2747269.12,999.32,182876.16
16,2,4,15,2,16,2000,0.7968,0.3798,2.1,29972,5484052.48,1998.07,365639.68
16,2,4,15,4,8,1000,0.796,0.3266,1.6,15004,2747269.12,1000.18,183029.76
16,2,4,15,4,8,2000,0.798,0.3072,1.6,30000,5494538.24,1999.76,365946.88
16,2,4,15,4,16,2000,0.9,0.4094,2.1,29993,5484052.48,1999.38,365885.44
16,2,4,15,4,16,1000,0.9,0.4115,2.0,15004,2747269.12,1000.02,182999.04
16,4,1,10,2,8,1000,0.8,0.4071,2.4,9996,1541406.72,999.51,153917.44
16,4,1,10,2,8,2000,0.8282999999999999,0.3815,2.4,19989,3082813.44,1998.63,307783.68
16,4,1,10,2,16,1000,0.7327,0.37010000000000004,2.1,9990,1541406.72,999.02,153845.76
16,4,1,10,2,16,2000,0.786,0.3959,2.4,19970,3072327.68,1997.08,307537.92
16,4,1,10,4,8,1000,0.7679,0.3165,1.6,10004,1541406.72,1000.3,154040.32
16,4,1,10,4,8,2000,0.7489,0.31710000000000005,1.7,20000,3082813.44,1999.7,307947.52
16,4,1,10,4,16,1000,0.9,0.4048,2.0,10000,1541406.72,999.94,153989.12
16,4,1,10,4,16,2000,0.8,0.3891,2.1,19991,3082813.44,1998.95,307834.88
16,4,1,15,2,8,1000,0.9,0.4065,4.8,14997,2306867.2,999.69,153948.16
16,4,1,15,2,8,2000,0.8,0.4213,5.8,29988,4613734.4,1999.05,307845.12
16,4,1,15,2,16,1000,0.7943,0.4097,5.5,14992,2306867.2,999.29,153886.72
16,4,1,15,2,16,2000,0.7867000000000001,0.4275,5.7,29972,4613734.4,1998.02,307691.52
16,4,1,15,4,8,1000,0.7637,0.3216,1.6,15004,2306867.2,1000.19,154030.08
16,4,1,15,4,8,2000,0.7253999999999999,0.3168,1.6,30000,4624220.16,1999.78,307957.76
16,4,1,15,4,16,2000,0.9,0.3989,1.9,29992,4613734.4,1999.29,307886.08
16,4,1,15,4,16,1000,0.9,0.4099,2.0,15004,2306867.2,999.98,153999.36
16,4,2,10,2,8,1000,0.9,0.3946,4.8,9996,1625292.8,999.45,162908.16
16,4,2,10,2,8,2000,0.9,0.4108,6.7,19978,3261071.36,1997.57,325601.28
16,4,2,10,2,16,1000,0.8,0.5758,12.9,9984,1625292.8,998.19,162703.36
16,4,2,10,2,16,2000,0.7986,0.5837,12.1,19956,3250585.6,1995.2,325212.16
16,4,2,10,4,8,1000,0.8,0.6246,15.1,10004,1635778.56,1000.25,163041.28
16,4,2,10,4,8,2000,0.8018,0.9,20.7,19992,3261071.36,1999.6,325928.96
16,4,2,10,4,16,1000,0.8,0.4137,6.2,10000,1625292.8,999.87,162979.84
16,4,2,10,4,16,2000,0.9,0.3941,4.1,19984,3261071.36,1998.6,325765.12
16,4,2,15,2,8,1000,0.8,0.4283,2.1,14996,2443182.08,999.7,162949.12
16,4,2,15,2,8,2000,0.8,0.3755,2.0,29990,4886364.16,1999.15,325857.28
16,4,2,15,2,16,1000,0.7914,0.38480000000000003,2.0,14992,2443182.08,999.31,162887.68
16,4,2,15,2,16,2000,0.7717,0.408,2.2,29972,4886364.16,1998.11,325683.2
16,4,2,15,4,8,1000,0.8227000000000001,0.3442,3.4,15004,2443182.08,1000.2,163031.04
16,4,2,15,4,8,2000,0.7997000000000001,0.3342,3.8,30000,4886364.16,1999.81,325959.68
16,4,2,15,4,16,2000,0.9,0.4186,3.6,29992,4886364.16,1999.34,325888.0
16,4,2,15,4,16,1000,0.9,0.446,3.9,15004,2443182.08,1000.0,163000.32
16,4,4,10,2,8,1000,1.0,1.2,19.7,9995,1793064.96,999.36,178882.56
16,4,4,10,2,8,2000,1.3,3.1,47.6,19990,3575644.16,1998.63,357744.64
16,4,4,10,2,16,1000,0.9,1.0,14.1,9988,1793064.96,998.52,178739.2
16,4,4,10,2,16,2000,0.9,1.1,20.1,19964,3575644.16,1996.22,357314.56
16,4,4,10,4,8,1000,1.0,1.5,22.0,10004,1793064.96,1000.27,179046.4
16,4,4,10,4,8,2000,1.3,3.9,54.7,19996,3575644.16,1999.51,357908.48
16,4,4,10,4,16,2000,1.1,1.6,27.1,19989,3575644.16,1999.01,357816.32
16,4,4,10,4,16,1000,1.0,1.1,14.8,10000,1793064.96,999.82,178964.48
16,4,4,15,2,8,1000,1.2,1.3,12.7,14997,2684354.56,999.76,178954.24
16,4,4,15,2,8,2000,1.5,3.0,32.1,29989,5368709.12,1999.07,357826.56
