matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,8,4,10,4,10,1000,0.8191,0.5327999999999999,15.8,10001,1866465.28,1000.09,187013.12
8,8,4,10,4,10,2000,0.7579,0.4402,8.7,19996,3743416.32,1999.62,373923.84
8,8,4,10,4,100,1000,0.7966,0.4809,8.7,9984,1866465.28,998.27,186675.2
8,8,4,10,4,100,2000,0.7689,0.4079,2.5,19925,3722444.8,1992.25,372551.68
8,8,4,10,4,1000,1000,16.5,17.0,67.9,1196,223651.84,116.99,21872.64
8,8,4,10,4,1000,2000,12.4,13.2,68.9,7957,1488977.92,793.92,148459.52
8,8,4,20,1,10,1000,0.9,0.4512,2.8,19981,3732930.56,998.96,186798.08
8,8,4,20,1,10,2000,0.9,0.4271,3.7,39956,7476346.88,1997.71,373565.44
8,8,4,20,1,100,1000,0.8,0.4463999999999999,5.4,19801,3701473.28,990.0,185128.96
8,8,4,20,1,100,2000,0.9,0.447,5.3,39551,7392460.8,1977.45,369786.88
8,8,4,20,1,1000,1000,3.9,1.7,9.1,1585,296396.8,79.25,14817.28
8,8,4,20,1,1000,2000,2.7,1.3,9.4,8589,1604321.28,429.41,80302.08
8,8,4,20,2,10,1000,0.8269,0.399,4.5,19994,3743416.32,999.67,186931.2
8,8,4,20,2,10,2000,0.8192,0.3902,4.0,39982,7476346.88,1999.05,373811.2
8,8,4,20,2,100,1000,0.7741,0.4081,1.9,10684,2002780.16,527.58,98662.4
8,8,4,20,2,100,2000,1.5,1.4,14.0,24322,4550819.84,1214.79,227164.16
8,8,4,20,2,1000,2000,2.3,1.4,16.3,9941,1855979.52,496.98,92938.24
8,8,4,20,2,1000,1000,2.6,2.0,19.2,4179,781475.84,208.29,38952.96
8,8,4,20,4,10,1000,0.7613,0.3142,1.5,19993,3743416.32,1000.07,187013.12
8,8,4,20,4,10,2000,0.666,0.3173999999999999,1.7,39998,7476346.88,1999.79,373954.56
8,8,4,20,4,100,2000,2.5,3.1,26.0,27841,5211422.72,1390.21,259973.12
8,8,4,20,4,100,1000,0.8,0.4633,4.9,11296,2107637.76,560.75,104857.6
8,8,8,10,1,10,1000,3.3,6.6,70.8,9981,2264924.16,997.93,226529.28
8,8,8,10,1,10,2000,5.9,14.0,108.7,19955,4529848.32,1995.35,452935.68
8,8,4,20,4,1000,2000,9.8,8.7,42.5,15806,2956984.32,789.57,147650.56
8,8,4,20,4,1000,1000,8.8,6.3,30.6,1792,335104.0,84.28,15759.36
8,8,8,10,1,100,1000,0.9,0.7552000000000001,19.6,6141,1394606.08,611.65,138844.16
8,8,8,10,1,100,2000,1.0,0.6246,21.6,19551,4435476.48,1954.54,443678.72
8,8,8,10,1,1000,1000,4.9,7.2,25.8,1079,244930.56,98.05,22261.76
8,8,8,10,1,1000,2000,3.3,4.1,25.5,5274,1195376.64,527.23,119685.12
8,8,8,10,2,10,1000,0.849,0.4993,8.0,9994,2264924.16,999.3,226836.48
8,8,8,10,2,10,2000,0.8,0.4886,7.7,19982,4540334.08,1997.89,453519.36
8,8,8,10,2,100,1000,0.8471000000000001,0.4843,7.8,9452,2149580.8,940.8,213565.44
8,8,8,10,2,100,2000,0.8,0.4958999999999999,10.5,19096,4330618.88,1909.0,433346.56
8,8,8,10,2,1000,1000,3.5,3.3,19.1,2346,532541.44,233.98,53114.88
8,8,8,10,2,1000,2000,3.5,4.1,30.2,5077,1153433.6,507.41,115179.52
8,8,8,10,4,10,1000,1.1,0.8,12.7,10000,2264924.16,999.77,226949.12
8,8,8,10,4,10,2000,1.1,0.9,12.4,19996,4540334.08,1999.26,453826.56
8,8,8,10,4,100,1000,0.0,0.0,0.0,2378,539801.6,234.66,53268.48
8,8,8,10,4,100,2000,2.0,2.9,31.0,6462,1468006.4,637.97,144824.32
8,8,8,10,4,1000,2000,13.6,46.9,1000.0,5716,1300234.24,570.39,129474.56
8,8,8,10,4,1000,1000,15.4,65.6,1000.0,2436,552970.24,241.96,54927.36
8,8,8,20,1,10,1000,0.8301000000000001,0.4368,2.5,19980,4540334.08,999.04,226775.04
8,8,8,20,1,10,2000,0.9,0.4266999999999999,2.7,39954,9070182.4,1997.75,453478.4
8,8,8,20,1,100,2000,0.9,0.4684,5.4,38892,8829009.92,1944.45,441395.2
8,8,8,20,1,100,1000,0.8207000000000001,0.4196999999999999,2.2,19325,4383047.68,942.64,213975.04
8,8,8,20,1,1000,2000,2.4,0.7826000000000001,7.6,13040,2956984.32,651.89,147978.24
8,8,8,20,1,1000,1000,2.5,0.4301999999999999,4.4,2486,564326.4,121.22,27514.88
8,8,8,20,2,10,1000,0.9,0.4593,7.2,19994,4540334.08,999.7,226928.64
8,8,8,20,2,10,2000,0.9,0.4936999999999999,9.4,39982,9080668.16,1999.01,453765.12
8,8,8,20,2,100,1000,2.2,2.0,19.1,15781,3586129.92,788.94,179087.36
8,8,8,20,2,100,2000,2.5,2.1,24.2,39802,9038725.12,1990.0,451727.36
8,8,8,20,2,1000,1000,3.6,1.6,12.2,1614,366376.96,79.07,17950.72
8,8,8,20,2,1000,2000,3.8,2.4,21.9,10172,2306867.2,508.56,115445.76
8,8,8,20,4,10,1000,0.7857999999999999,0.3514,7.4,20002,4540334.08,1000.08,227010.56
8,8,8,20,4,10,2000,0.7643,0.3472,6.8,39998,9080668.16,1999.77,453939.2
8,8,8,20,4,100,2000,1.3,4.1,142.2,39849,9049210.88,1992.07,452198.4
8,8,8,20,4,100,1000,0.8,0.7931,53.0,19160,4351590.4,951.78,216053.76
8,8,16,10,1,10,1000,4.6,6.1,44.7,9979,3072327.68,997.9,307353.6
8,8,16,10,1,10,2000,8.2,11.5,57.5,19941,6144655.36,1994.09,614174.72
8,8,8,20,4,1000,2000,8.5,6.7,69.3,13405,3040870.4,669.08,151879.68
8,8,8,20,4,1000,1000,0.0,0.0,0.0,1000,227000.32,47.05,10680.32
8,8,16,10,1,100,1000,4.0,4.7,31.3,9799,3019898.88,979.69,301742.08
8,8,16,10,1,100,2000,4.3,4.9,74.8,19551,6018826.24,1954.84,602091.52
8,8,16,10,1,1000,2000,4.7,4.2,22.1,7371,2275409.92,736.73,226908.16
8,8,16,10,1,1000,1000,4.8,5.3,18.1,1000,307998.72,90.87,27985.92
8,8,16,10,2,10,1000,1.0,0.8342,10.2,9994,3082813.44,999.34,307793.92
8,8,16,10,2,10,2000,1.1,0.9,14.0,19982,6155141.12,1998.01,615383.04
